ds,exo
2015-10-16,37.6
2015-10-17,6.3
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,33.5
2015-10-22,47.4
2015-10-23,12.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,3.4
2015-10-27,2.4
2015-10-28,0.7
2015-10-29,0.0
2015-10-30,0.0
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,7.3
2015-11-03,2.4
2015-11-04,13.9
2015-11-05,24.8
2015-11-06,1.6
2015-11-07,0.0
2015-11-08,17.2
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,28.8
2015-11-12,1.9
2015-11-13,1.8
2015-11-14,13.8
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,23.6
2015-11-18,6.8
2015-11-19,3.4
2015-11-20,21.6
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,7.4
2015-11-24,16.6
2015-11-25,0.0
2015-11-26,0.6
2015-11-27,2.8
2015-11-28,23.5
2015-11-29,1.3
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,20.8
2015-12-03,33.9
2015-12-04,9.4
2015-12-05,10.4
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,46.7
2015-12-11,0.4
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.7
2015-12-15,26.6
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,2.8
2015-12-19,21.2
2015-12-20,6.9
2015-12-21,0.0
2015-12-22,3.6
2015-12-23,19.3
2015-12-24,25.0
2015-12-25,13.8
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.5
2015-12-29,13.2
2015-12-30,6.3
2015-12-31,5.2
2016-01-01,3.1
2016-01-02,20.1
2016-01-03,0.5
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,1.3
2016-01-07,8.2
2016-01-08,1.5
2016-01-09,1.3
2016-01-10,22.3
2016-01-11,15.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,4.7
2016-01-27,37.8
2016-01-28,0.4
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,59.0
2016-02-01,60.3
2016-02-02,19.2
2016-02-03,0.2
2016-02-04,17.8
2016-02-05,3.9
2016-02-06,2.7
2016-02-07,0.2
2016-02-08,0.0
2016-02-09,5.8
2016-02-10,16.4
2016-02-11,0.0
2016-02-12,0.0
2016-02-13,0.0
2016-02-14,20.5
2016-02-15,9.6
2016-02-16,17.9
2016-02-17,8.3
2016-02-18,0.0
2016-02-19,0.0
2016-02-20,0.0
2016-02-21,10.0
2016-02-22,2.3
2016-02-23,2.3
2016-02-24,0.0
2016-02-25,7.2
2016-02-26,0.0
2016-02-27,10.1
2016-02-28,0.6
2016-02-29,0.7
2016-03-01,0.4
2016-03-02,0.2
2016-03-03,46.0
2016-03-04,13.5
2016-03-05,2.7
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,14.0
2016-03-10,33.4
2016-03-11,5.7
2016-03-12,7.8
2016-03-13,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,5.5
2016-03-21,38.2
2016-03-22,44.9
2016-03-23,0.0
2016-03-24,0.2
2016-03-25,9.0
2016-03-26,24.7
2016-03-27,1.7
2016-03-28,1.3
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,0.4
2016-04-03,0.9
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,1.0
2016-04-08,0.6
2016-04-09,0.4
2016-04-10,5.9
2016-04-11,16.2
2016-04-12,8.7
2016-04-13,0.0
2016-04-14,46.3
2016-04-15,1.3
2016-04-16,0.0
2016-04-17,0.4
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,6.2
2016-04-23,9.2
2016-04-24,0.4
2016-04-25,19.8
2016-04-26,10.1
2016-04-27,24.5
2016-04-28,0.2
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,4.7
2016-05-07,7.0
2016-05-08,0.0
2016-05-09,10.0
2016-05-10,7.3
2016-05-11,0.0
2016-05-12,1.3
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,30.2
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,30.7
2016-05-22,7.3
2016-05-23,9.1
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,4.7
2016-05-30,13.3
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,2.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,19.9
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
